AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
7.789,2.089,-64,0.989,0.185,-47,10.803,1.857,-69,1,1
7.848,1.926,-58,1.038,0.17,-47,10.881,1.717,-68,1,1
7.731,2.1,-65,1.018,0.15,-47,10.842,0.141,-69,1,1
7.848,2.062,-63,0.989,0.085,-47,10.92,1.495,-68,1,1
7.76,1.738,-63,1.038,0.117,-47,10.881,1.673,-68,1,1
7.789,1.363,-63,0.989,0.217,-47,10.608,2.135,-68,1,1
7.731,1.473,-62,0.989,0.175,-46,10.647,1.933,-68,1,1
7.848,1.957,-61,1.037,0.136,-47,10.764,1.891,-69,1,1
7.789,2.054,-64,1.077,0.154,-46,10.647,1.877,-69,1,1
7.818,2.116,-63,1.077,0.202,-46,10.764,1.731,-69,1,1
7.76,1.497,-63,1.038,0.166,-46,10.803,1.696,-69,1,1
7.848,1.818,-63,1.018,0.089,-46,10.764,1.702,-69,1,1
7.818,2.142,-59,1.116,0.176,-46,10.725,1.796,-69,1,1
7.76,1.538,-63,1.077,0.153,-46,10.686,1.816,-69,1,1
7.818,1.798,-58,1.047,0.146,-46,10.686,1.872,-69,1,1
7.77,2.123,-58,1.018,0.158,-47,10.764,1.762,-69,1,1
7.76,1.809,-64,1.038,0.166,-47,10.647,1.832,-69,1,1
7.818,1.756,-64,0.959,0.146,-47,10.842,1.751,-69,1,1
7.76,2.184,-63,1.038,0.171,-47,10.725,1.778,-69,1,1
7.848,2.042,-63,1.077,0.126,-47,10.608,1.839,-69,1,1
7.818,2.138,-63,1.077,0.17,-46,10.725,1.78,-69,1,1
7.818,2.058,-59,1.077,0.12,-47,10.803,1.741,-69,1,1
7.731,2.2,-61,1.106,0.121,-47,10.725,1.753,-69,1,1
7.76,2.164,-63,1.116,0.164,-47,10.803,1.712,-69,1,1
7.701,2.173,-63,1.047,0.17,-46,10.803,1.771,-69,1,1
7.789,1.526,-63,1.018,0.131,-47,10.842,1.753,-69,1,1
8.181,2.052,-63,1.077,0.15,-47,10.725,1.838,-69,1,1
7.76,2.222,-63,0.92,0.153,-47,10.803,1.77,-69,1,1
7.701,2.173,-63,0.959,0.174,-47,10.686,1.858,-69,1,1
7.731,2.18,-63,1.047,0.192,-47,10.725,1.779,-69,1,1
7.818,2.116,-63,0.959,0.174,-47,10.764,1.817,-69,1,1
7.76,2.163,-63,1.047,0.117,-47,10.803,1.799,-69,1,1
7.672,2.265,-64,1.077,0.14,-47,10.803,1.784,-69,1,1
7.711,2.261,-64,0.959,0.103,-47,10.764,0.232,-68,1,1
7.731,2.219,-64,1.038,0.121,-47,10.92,0.284,-69,1,1
