AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3
4.834,1.763,-53,4.709,1.049,-60,6.702,2.05,-72,4,4,7,9,7,0,0,9
4.889,0.955,-57,4.788,1.027,-60,6.789,2.046,-72,4,4,7,9,7,0,0,9
4.918,0.933,-57,4.905,0.92,-60,6.848,1.977,-72,4,4,7,9,7,0,0,9
5.006,0.685,-58,4.905,0.897,-60,6.819,1.992,-72,4,4,7,9,7,0,0,9
5.006,0.724,-58,4.827,0.96,-60,6.702,2.092,-72,4,4,7,9,7,0,0,9
5.006,0.821,-58,4.944,0.92,-60,6.819,2.05,-72,4,4,7,9,7,0,0,9
4.947,0.896,-58,4.788,0.978,-60,6.819,2.09,-72,4,4,7,9,7,0,0,9
4.947,0.799,-58,4.983,0.883,-60,6.877,1.962,-72,4,4,7,9,7,0,0,9
4.859,0.954,-58,4.866,0.913,-60,6.819,1.98,-72,4,4,7,9,7,0,0,9
5.064,0.816,-58,4.905,0.914,-60,6.848,2.017,-72,4,4,7,9,7,0,0,9
5.182,0.645,-58,4.788,0.996,-60,6.731,2.017,-72,4,4,7,9,7,0,0,9
4.918,0.924,-57,4.944,0.976,-59,6.819,1.994,-72,4,4,7,9,7,0,0,9
4.977,0.863,-58,4.866,1.027,-60,6.819,2.031,-72,4,4,7,9,7,0,0,9
5.006,0.803,-57,4.905,0.952,-60,6.848,1.92,-73,4,4,7,9,7,0,0,9
5.016,0.884,-53,4.709,1.034,-60,6.819,1.994,-73,4,4,7,9,7,0,0,9
5.368,0.685,-53,4.944,0.945,-60,6.731,1.999,-72,4,4,7,9,7,0,0,9
4.889,0.904,-58,4.983,0.941,-59,6.789,2.01,-72,4,4,7,9,7,0,0,9
4.713,1.061,-58,4.983,0.927,-59,6.79,2.028,-72,4,4,7,9,7,0,0,9
4.947,0.895,-54,5.022,0.834,-59,6.848,1.999,-72,4,4,7,9,7,0,0,9
4.889,1.347,-53,5.022,0.88,-59,6.819,2.011,-72,4,4,7,9,7,0,0,9
4.889,0.936,-58,4.983,0.913,-59,6.877,1.946,-72,4,4,7,9,7,0,0,9
4.859,0.94,-58,4.827,1.003,-60,6.907,1.949,-72,4,4,7,9,7,0,0,9
4.771,1.403,-54,4.788,1.08,-60,6.819,2.032,-73,4,4,7,9,7,0,0,9
5.064,0.772,-58,4.827,1.051,-60,6.877,1.926,-72,4,4,7,9,7,0,0,9
5.006,0.853,-58,4.788,1.027,-60,6.702,2.07,-72,4,4,7,9,7,0,0,9
5.035,0.828,-57,4.788,1.043,-60,6.731,2.076,-71,4,4,7,9,7,0,0,9
4.889,0.931,-57,4.905,0.962,-60,6.731,2.037,-71,4,4,7,9,7,0,0,9
4.859,1.031,-57,4.827,1.032,-60,6.76,2.064,-71,4,4,7,9,7,0,0,9
4.889,0.943,-57,4.905,1.002,-60,6.76,2.06,-71,4,4,7,9,7,0,0,9
4.947,0.933,-57,4.788,0.994,-60,6.731,2.115,-71,4,4,7,9,7,0,0,9
4.771,1.072,-58,4.905,0.969,-60,6.731,2.018,-72,4,4,7,9,7,0,0,9
5.006,0.765,-58,4.944,0.936,-60,6.731,2.152,-71,4,4,7,9,7,0,0,9
4.947,0.91,-57,4.827,1.047,-60,6.79,2.025,-71,4,4,7,9,7,0,0,9
4.977,1.168,-53,4.983,0.957,-60,6.76,2.099,-71,4,4,7,9,7,0,0,9
4.489,1.267,-54,4.905,0.992,-60,6.702,2.071,-71,4,4,7,9,7,0,0,9
4.859,0.958,-54,4.866,1.027,-60,6.819,2.05,-72,4,4,7,9,7,0,0,9
